document_id,project_id,document_type,document_date,amount,contractor,location,file_path,extracted_text,status
DOC00071,P00071,Completion Certificate,2025-12-23,275000.0,Contractor_034,"Belagavi, Karnataka",,"Document for project P00071. Type: Completion Certificate. Amount: 275000.0. Contractor: Contractor_034. Location: Belagavi, Karnataka.",Completed
DOC00072,P00072,Inspection Report,2026-04-16,1403000.0,Contractor_050,"Vadodara, Gujarat",,"Document for project P00072. Type: Inspection Report. Amount: 1403000.0. Contractor: Contractor_050. Location: Vadodara, Gujarat.",Delayed
DOC00073,P00073,Sanction Letter,2024-10-21,501000.0,Contractor_015,"Jaipur, Rajasthan",,"Document for project P00073. Type: Sanction Letter. Amount: 501000.0. Contractor: Contractor_015. Location: Jaipur, Rajasthan.",Delayed
DOC00074,P00074,Utilization Certificate,2025-08-12,187000.0,Contractor_035,"Kolkata, West Bengal",,"Document for project P00074. Type: Utilization Certificate. Amount: 187000.0. Contractor: Contractor_035. Location: Kolkata, West Bengal.",Delayed
DOC00075,P00075,Completion Certificate,2025-03-31,1638000.0,Contractor_004,"Karimnagar, Telangana",,"Document for project P00075. Type: Completion Certificate. Amount: 1638000.0. Contractor: Contractor_004. Location: Karimnagar, Telangana.",In Progress
DOC00076,P00076,Inspection Report,2026-01-12,940000.0,Different Contractor,"Guntur, Andhra Pradesh",,"Document for project P00076. Type: Inspection Report. Amount: 940000.0. Contractor: Different Contractor. Location: Guntur, Andhra Pradesh.",Delayed
DOC00077,P00077,Sanction Letter,2025-03-13,550000.0,Contractor_029,"Krishna, Andhra Pradesh",,"Document for project P00077. Type: Sanction Letter. Amount: 550000.0. Contractor: Contractor_029. Location: Krishna, Andhra Pradesh.",In Progress
DOC00078,P00078,Utilization Certificate,2024-05-31,1731000.0,Contractor_025,"Aurangabad, Maharashtra",,"Document for project P00078. Type: Utilization Certificate. Amount: 1731000.0. Contractor: Contractor_025. Location: Aurangabad, Maharashtra.",In Progress
DOC00079,P00079,Completion Certificate,2025-09-13,656000.0,Contractor_026,"Nizamabad, Telangana",,"Document for project P00079. Type: Completion Certificate. Amount: 656000.0. Contractor: Contractor_026. Location: Nizamabad, Telangana.",In Progress
DOC00080,P00080,Inspection Report,2026-04-12,18625000.0,Contractor_001,"Chennai, Tamil Nadu",,"Document for project P00080. Type: Inspection Report. Amount: 18625000.0. Contractor: Contractor_001. Location: Chennai, Tamil Nadu.",Delayed
DOC00081,P00081,Sanction Letter,2025-02-01,8372000.0,Contractor_044,"Kollam, Kerala",,"Document for project P00081. Type: Sanction Letter. Amount: 8372000.0. Contractor: Contractor_044. Location: Kollam, Kerala.",In Progress
DOC00082,P00082,Utilization Certificate,2025-10-02,1527000.0,Contractor_001,"Guntur, Andhra Pradesh",,"Document for project P00082. Type: Utilization Certificate. Amount: 1527000.0. Contractor: Contractor_001. Location: Guntur, Andhra Pradesh.",In Progress
DOC00083,P00083,Completion Certificate,2025-07-08,2237000.0,Contractor_037,"Karimnagar, Telangana",,"Document for project P00083. Type: Completion Certificate. Amount: 2237000.0. Contractor: Contractor_037. Location: Karimnagar, Telangana.",In Progress
DOC00084,P00084,Inspection Report,2024-03-02,256000.0,Contractor_005,"Aurangabad, Maharashtra",,"Document for project P00084. Type: Inspection Report. Amount: 256000.0. Contractor: Contractor_005. Location: Aurangabad, Maharashtra.",In Progress
DOC00085,P00085,Sanction Letter,2025-12-25,1654000.0,Contractor_037,"Chennai, Tamil Nadu",,"Document for project P00085. Type: Sanction Letter. Amount: 1654000.0. Contractor: Contractor_037. Location: Chennai, Tamil Nadu.",In Progress
DOC00086,P00086,Utilization Certificate,2026-01-31,853000.0,Contractor_009,"Chennai, Tamil Nadu",,"Document for project P00086. Type: Utilization Certificate. Amount: 853000.0. Contractor: Contractor_009. Location: Chennai, Tamil Nadu.",In Progress
DOC00087,P00087,Completion Certificate,2024-10-15,859000.0,Contractor_017,"Kollam, Kerala",,"Document for project P00087. Type: Completion Certificate. Amount: 859000.0. Contractor: Contractor_017. Location: Kollam, Kerala.",In Progress
DOC00088,P00088,Inspection Report,2025-04-01,1404000.0,Contractor_058,"Madurai, Tamil Nadu",,"Document for project P00088. Type: Inspection Report. Amount: 1404000.0. Contractor: Contractor_058. Location: Madurai, Tamil Nadu.",Delayed
DOC00089,P00089,Sanction Letter,2024-01-26,920000.0,Contractor_051,"Krishna, Andhra Pradesh",,"Document for project P00089. Type: Sanction Letter. Amount: 920000.0. Contractor: Contractor_051. Location: Krishna, Andhra Pradesh.",In Progress
DOC00090,P00090,Utilization Certificate,2025-09-22,1779000.0,Contractor_004,"Tirupati, Andhra Pradesh",,"Document for project P00090. Type: Utilization Certificate. Amount: 1779000.0. Contractor: Contractor_004. Location: Tirupati, Andhra Pradesh.",Delayed
DOC00091,P00091,Completion Certificate,2024-06-29,2779000.0,Contractor_048,"Sambalpur, Odisha",,"Document for project P00091. Type: Completion Certificate. Amount: 2779000.0. Contractor: Contractor_048. Location: Sambalpur, Odisha.",In Progress
DOC00092,P00092,Inspection Report,2025-06-21,1373000.0,Contractor_037,"Chennai, Tamil Nadu",,"Document for project P00092. Type: Inspection Report. Amount: 1373000.0. Contractor: Contractor_037. Location: Chennai, Tamil Nadu.",In Progress
DOC00093,P00093,Sanction Letter,2024-05-30,1570000.0,Contractor_022,"Kozhikode, Kerala",,"Document for project P00093. Type: Sanction Letter. Amount: 1570000.0. Contractor: Contractor_022. Location: Kozhikode, Kerala.",In Progress
DOC00094,P00094,Utilization Certificate,2025-09-19,2098000.0,Contractor_042,"Howrah, West Bengal",,"Document for project P00094. Type: Utilization Certificate. Amount: 2098000.0. Contractor: Contractor_042. Location: Howrah, West Bengal.",In Progress
DOC00095,P00095,Completion Certificate,2024-04-16,1279000.0,Contractor_057,"Coimbatore, Tamil Nadu",,"Document for project P00095. Type: Completion Certificate. Amount: 1279000.0. Contractor: Contractor_057. Location: Coimbatore, Tamil Nadu.",In Progress
DOC00096,P00096,Inspection Report,2025-07-21,603000.0,Contractor_033,"Kolkata, West Bengal",,"Document for project P00096. Type: Inspection Report. Amount: 603000.0. Contractor: Contractor_033. Location: Kolkata, West Bengal.",In Progress
DOC00097,P00097,Sanction Letter,2025-06-02,504000.0,Contractor_043,"Malda, West Bengal",,"Document for project P00097. Type: Sanction Letter. Amount: 504000.0. Contractor: Contractor_043. Location: Malda, West Bengal.",Completed
DOC00098,P00098,Utilization Certificate,2025-01-12,3269000.0,Contractor_025,"Vadodara, Gujarat",,"Document for project P00098. Type: Utilization Certificate. Amount: 3269000.0. Contractor: Contractor_025. Location: Vadodara, Gujarat.",In Progress
DOC00099,P00099,Completion Certificate,2025-12-17,2866000.0,Contractor_039,"Rajkot, Gujarat",,"Document for project P00099. Type: Completion Certificate. Amount: 2866000.0. Contractor: Contractor_039. Location: Rajkot, Gujarat.",In Progress
DOC00100,P00100,Inspection Report,2025-05-13,856000.0,Contractor_009,"Nagpur, Maharashtra",,"Document for project P00100. Type: Inspection Report. Amount: 856000.0. Contractor: Contractor_009. Location: Nagpur, Maharashtra.",In Progress
DOC00101,P00101,Sanction Letter,2025-10-20,183750.0,Contractor_018,Different Location,,Document for project P00101. Type: Sanction Letter. Amount: 183750.0. Contractor: Contractor_018. Location: Different Location.,Delayed
DOC00102,P00102,Utilization Certificate,2024-04-27,1692000.0,Contractor_031,"Khordha, Odisha",,"Document for project P00102. Type: Utilization Certificate. Amount: 1692000.0. Contractor: Contractor_031. Location: Khordha, Odisha.",In Progress
DOC00103,P00103,Completion Certificate,2025-08-06,2572000.0,Contractor_011,"Belagavi, Karnataka",,"Document for project P00103. Type: Completion Certificate. Amount: 2572000.0. Contractor: Contractor_011. Location: Belagavi, Karnataka.",Completed
DOC00104,P00104,Inspection Report,2025-07-25,952000.0,Contractor_011,"Bengaluru Urban, Karnataka",,"Document for project P00104. Type: Inspection Report. Amount: 952000.0. Contractor: Contractor_011. Location: Bengaluru Urban, Karnataka.",Delayed
DOC00105,P00105,Sanction Letter,2024-05-02,3237000.0,Contractor_052,"Dharwad, Karnataka",,"Document for project P00105. Type: Sanction Letter. Amount: 3237000.0. Contractor: Contractor_052. Location: Dharwad, Karnataka.",In Progress
DOC00106,P00106,Utilization Certificate,2025-07-08,2170000.0,Contractor_026,"Hyderabad, Telangana",,"Document for project P00106. Type: Utilization Certificate. Amount: 2170000.0. Contractor: Contractor_026. Location: Hyderabad, Telangana.",In Progress
DOC00107,P00107,Completion Certificate,2024-08-06,858000.0,Contractor_058,"Thrissur, Kerala",,"Document for project P00107. Type: Completion Certificate. Amount: 858000.0. Contractor: Contractor_058. Location: Thrissur, Kerala.",In Progress
DOC00108,P00108,Inspection Report,2024-05-29,1331000.0,Contractor_012,"Kolkata, West Bengal",,"Document for project P00108. Type: Inspection Report. Amount: 1331000.0. Contractor: Contractor_012. Location: Kolkata, West Bengal.",In Progress
DOC00109,P00109,Sanction Letter,2026-01-11,685000.0,Contractor_023,"Rajkot, Gujarat",,"Document for project P00109. Type: Sanction Letter. Amount: 685000.0. Contractor: Contractor_023. Location: Rajkot, Gujarat.",In Progress
DOC00110,P00110,Utilization Certificate,2024-02-12,1154000.0,Contractor_046,"Chennai, Tamil Nadu",,"Document for project P00110. Type: Utilization Certificate. Amount: 1154000.0. Contractor: Contractor_046. Location: Chennai, Tamil Nadu.",In Progress
DOC00111,P00111,Completion Certificate,2024-09-24,2950000.0,Contractor_051,"Visakhapatnam, Andhra Pradesh",,"Document for project P00111. Type: Completion Certificate. Amount: 2950000.0. Contractor: Contractor_051. Location: Visakhapatnam, Andhra Pradesh.",In Progress
DOC00112,P00112,Inspection Report,2025-02-08,2735000.0,Contractor_025,"Warangal, Telangana",,"Document for project P00112. Type: Inspection Report. Amount: 2735000.0. Contractor: Contractor_025. Location: Warangal, Telangana.",Completed
DOC00113,P00113,Sanction Letter,2024-05-29,421000.0,Contractor_026,"Krishna, Andhra Pradesh",,"Document for project P00113. Type: Sanction Letter. Amount: 421000.0. Contractor: Contractor_026. Location: Krishna, Andhra Pradesh.",Delayed
DOC00114,P00114,Utilization Certificate,2026-03-01,340000.0,Contractor_042,"Kota, Rajasthan",,"Document for project P00114. Type: Utilization Certificate. Amount: 340000.0. Contractor: Contractor_042. Location: Kota, Rajasthan.",Delayed
DOC00115,P00115,Completion Certificate,2024-02-07,791000.0,Contractor_032,"Tirupati, Andhra Pradesh",,"Document for project P00115. Type: Completion Certificate. Amount: 791000.0. Contractor: Contractor_032. Location: Tirupati, Andhra Pradesh.",In Progress
DOC00116,P00116,Inspection Report,2024-11-19,1109000.0,Contractor_035,"Dharwad, Karnataka",,"Document for project P00116. Type: Inspection Report. Amount: 1109000.0. Contractor: Contractor_035. Location: Dharwad, Karnataka.",Delayed
DOC00117,P00117,Sanction Letter,2025-01-01,551000.0,Contractor_018,"Cuttack, Odisha",,"Document for project P00117. Type: Sanction Letter. Amount: 551000.0. Contractor: Contractor_018. Location: Cuttack, Odisha.",In Progress
DOC00118,P00118,Utilization Certificate,2024-09-29,10468000.0,Contractor_046,"Nashik, Maharashtra",,"Document for project P00118. Type: Utilization Certificate. Amount: 10468000.0. Contractor: Contractor_046. Location: Nashik, Maharashtra.",Completed
DOC00119,P00119,Completion Certificate,2025-12-03,1734000.0,Contractor_059,"Kozhikode, Kerala",,"Document for project P00119. Type: Completion Certificate. Amount: 1734000.0. Contractor: Contractor_059. Location: Kozhikode, Kerala.",In Progress
