inspection_id,project_id,inspection_date,inspection_score,inspection_status,remarks
INSP00072,P00072,2026-04-26,85,Passed,Project inspection satisfactory
INSP00073,P00073,2024-10-31,85,Passed,Project inspection satisfactory
INSP00074,P00074,2025-08-22,85,Passed,Project inspection satisfactory
INSP00075,P00075,2025-04-10,85,Passed,Project inspection satisfactory
INSP00076,P00076,2026-01-22,85,Passed,Project inspection satisfactory
INSP00077,P00077,2025-03-23,85,Passed,Project inspection satisfactory
INSP00078,P00078,2024-06-10,85,Passed,Project inspection satisfactory
INSP00079,P00079,2025-09-23,85,Passed,Project inspection satisfactory
INSP00080,P00080,2026-04-22,85,Passed,Project inspection satisfactory
INSP00081,P00081,2025-02-11,25,Failed,Project site requires detailed investigation
INSP00082,P00082,2025-10-12,85,Passed,Project inspection satisfactory
INSP00083,P00083,2025-07-18,85,Passed,Project inspection satisfactory
INSP00084,P00084,2024-03-12,85,Passed,Project inspection satisfactory
INSP00085,P00085,2026-01-04,85,Passed,Project inspection satisfactory
INSP00086,P00086,2026-02-10,85,Passed,Project inspection satisfactory
INSP00087,P00087,2024-10-25,85,Passed,Project inspection satisfactory
INSP00088,P00088,2025-04-11,85,Passed,Project inspection satisfactory
INSP00089,P00089,2024-02-05,85,Passed,Project inspection satisfactory
INSP00090,P00090,2025-10-02,85,Passed,Project inspection satisfactory
INSP00091,P00091,2024-07-09,35,Failed,Work quality below expected standard
INSP00092,P00092,2025-07-01,85,Passed,Project inspection satisfactory
INSP00093,P00093,2024-06-09,85,Passed,Project inspection satisfactory
INSP00094,P00094,2025-09-29,85,Passed,Project inspection satisfactory
INSP00095,P00095,2024-04-26,85,Passed,Project inspection satisfactory
INSP00096,P00096,2025-07-31,85,Passed,Project inspection satisfactory
INSP00097,P00097,2025-06-12,85,Passed,Project inspection satisfactory
INSP00098,P00098,2025-01-22,85,Passed,Project inspection satisfactory
INSP00099,P00099,2025-12-27,85,Passed,Project inspection satisfactory
INSP00100,P00100,2025-05-23,85,Passed,Project inspection satisfactory
INSP00101,P00101,2025-10-30,85,Passed,Project inspection satisfactory
INSP00102,P00102,2024-05-07,85,Passed,Project inspection satisfactory
INSP00103,P00103,2025-08-16,85,Passed,Project inspection satisfactory
INSP00104,P00104,2025-08-04,85,Passed,Project inspection satisfactory
INSP00105,P00105,2024-05-12,85,Passed,Project inspection satisfactory
INSP00106,P00106,2025-07-18,85,Passed,Project inspection satisfactory
INSP00107,P00107,2024-08-16,85,Passed,Project inspection satisfactory
INSP00108,P00108,2024-06-08,85,Passed,Project inspection satisfactory
INSP00109,P00109,2026-01-21,85,Passed,Project inspection satisfactory
INSP00110,P00110,2024-02-22,85,Passed,Project inspection satisfactory
INSP00111,P00111,2024-10-04,85,Passed,Project inspection satisfactory
INSP00112,P00112,2025-02-18,85,Passed,Project inspection satisfactory
INSP00113,P00113,2024-06-08,85,Passed,Project inspection satisfactory
INSP00114,P00114,2026-03-11,85,Passed,Project inspection satisfactory
INSP00115,P00115,2024-02-17,85,Passed,Project inspection satisfactory
INSP00116,P00116,2024-11-29,85,Passed,Project inspection satisfactory
INSP00117,P00117,2025-01-11,85,Passed,Project inspection satisfactory
INSP00118,P00118,2024-10-09,85,Passed,Project inspection satisfactory
INSP00119,P00119,2025-12-13,85,Passed,Project inspection satisfactory
INSP00120,P00120,2025-08-11,85,Passed,Project inspection satisfactory
INSP00121,P00121,2024-11-23,45,Needs Improvement,Physical progress requires verification
INSP00122,P00122,2025-05-30,85,Passed,Project inspection satisfactory
INSP00123,P00123,2024-12-30,85,Passed,Project inspection satisfactory
INSP00124,P00124,2024-05-28,85,Passed,Project inspection satisfactory
INSP00125,P00125,2024-04-02,85,Passed,Project inspection satisfactory
INSP00126,P00126,2024-02-10,85,Passed,Project inspection satisfactory
INSP00127,P00127,2024-04-19,85,Passed,Project inspection satisfactory
INSP00128,P00128,2024-10-01,85,Passed,Project inspection satisfactory
INSP00129,P00129,2024-04-27,85,Passed,Project inspection satisfactory
INSP00130,P00130,2024-12-08,85,Passed,Project inspection satisfactory
INSP00131,P00131,2024-07-14,85,Passed,Project inspection satisfactory
INSP00132,P00132,2025-04-11,85,Passed,Project inspection satisfactory
INSP00133,P00133,2026-03-24,85,Passed,Project inspection satisfactory
INSP00134,P00134,2024-06-02,85,Passed,Project inspection satisfactory
INSP00135,P00135,2025-01-03,85,Passed,Project inspection satisfactory
INSP00136,P00136,2025-12-09,35,Failed,Work quality below expected standard
INSP00137,P00137,2024-11-21,85,Passed,Project inspection satisfactory
INSP00138,P00138,2025-10-07,85,Passed,Project inspection satisfactory
INSP00139,P00139,2025-09-03,85,Passed,Project inspection satisfactory
INSP00140,P00140,2025-02-22,85,Passed,Project inspection satisfactory
INSP00141,P00141,2024-08-02,85,Passed,Project inspection satisfactory
INSP00142,P00142,2025-03-09,85,Passed,Project inspection satisfactory
INSP00143,P00143,2025-02-19,85,Passed,Project inspection satisfactory
INSP00144,P00144,2026-01-21,85,Passed,Project inspection satisfactory
INSP00145,P00145,2024-06-24,85,Passed,Project inspection satisfactory
INSP00146,P00146,2024-05-09,85,Passed,Project inspection satisfactory
INSP00147,P00147,2025-10-28,85,Passed,Project inspection satisfactory
INSP00148,P00148,2024-03-26,85,Passed,Project inspection satisfactory
INSP00149,P00149,2026-04-25,85,Passed,Project inspection satisfactory
INSP00150,P00150,2025-02-08,85,Passed,Project inspection satisfactory
INSP00151,P00151,2024-07-19,85,Passed,Project inspection satisfactory
INSP00152,P00152,2024-07-22,85,Passed,Project inspection satisfactory
INSP00153,P00153,2026-01-25,85,Passed,Project inspection satisfactory
INSP00154,P00154,2024-12-11,85,Passed,Project inspection satisfactory
INSP00155,P00155,2026-03-01,85,Passed,Project inspection satisfactory
INSP00156,P00156,2024-12-01,85,Passed,Project inspection satisfactory
INSP00157,P00157,2025-09-07,85,Passed,Project inspection satisfactory
INSP00158,P00158,2024-08-16,85,Passed,Project inspection satisfactory
INSP00159,P00159,2025-09-05,85,Passed,Project inspection satisfactory
INSP00160,P00160,2025-05-16,85,Passed,Project inspection satisfactory
INSP00161,P00161,2026-05-01,25,Failed,Project site requires detailed investigation
INSP00162,P00162,2025-01-25,85,Passed,Project inspection satisfactory
INSP00163,P00163,2026-01-07,85,Passed,Project inspection satisfactory
INSP00164,P00164,2025-06-22,85,Passed,Project inspection satisfactory
INSP00165,P00165,2024-07-18,85,Passed,Project inspection satisfactory
INSP00166,P00166,2025-06-05,85,Passed,Project inspection satisfactory
INSP00167,P00167,2024-07-13,85,Passed,Project inspection satisfactory
INSP00168,P00168,2025-06-26,85,Passed,Project inspection satisfactory
INSP00169,P00169,2024-07-19,85,Passed,Project inspection satisfactory
INSP00170,P00170,2024-07-02,85,Passed,Project inspection satisfactory
INSP00171,P00171,2025-04-20,85,Passed,Project inspection satisfactory
INSP00172,P00172,2025-01-24,85,Passed,Project inspection satisfactory
INSP00173,P00173,2025-05-19,85,Passed,Project inspection satisfactory
INSP00174,P00174,2024-06-10,85,Passed,Project inspection satisfactory
INSP00175,P00175,2025-02-19,85,Passed,Project inspection satisfactory
INSP00176,P00176,2025-11-29,85,Passed,Project inspection satisfactory
INSP00177,P00177,2025-12-11,85,Passed,Project inspection satisfactory
INSP00178,P00178,2026-04-15,85,Passed,Project inspection satisfactory
INSP00179,P00179,2025-09-22,85,Passed,Project inspection satisfactory
INSP00180,P00180,2026-03-22,85,Passed,Project inspection satisfactory
INSP00181,P00181,2026-04-29,35,Failed,Work quality below expected standard
INSP00182,P00182,2025-03-28,85,Passed,Project inspection satisfactory
INSP00183,P00183,2024-02-20,85,Passed,Project inspection satisfactory
INSP00184,P00184,2024-04-12,85,Passed,Project inspection satisfactory
INSP00185,P00185,2024-10-30,85,Passed,Project inspection satisfactory
INSP00186,P00186,2026-03-10,85,Passed,Project inspection satisfactory
INSP00187,P00187,2024-10-12,85,Passed,Project inspection satisfactory
INSP00188,P00188,2026-03-11,85,Passed,Project inspection satisfactory
INSP00189,P00189,2026-04-20,85,Passed,Project inspection satisfactory
INSP00190,P00190,2024-11-02,85,Passed,Project inspection satisfactory
INSP00191,P00191,2024-04-25,85,Passed,Project inspection satisfactory
INSP00192,P00192,2024-05-28,85,Passed,Project inspection satisfactory
INSP00193,P00193,2024-08-30,85,Passed,Project inspection satisfactory
INSP00194,P00194,2025-10-15,85,Passed,Project inspection satisfactory
INSP00195,P00195,2025-10-23,85,Passed,Project inspection satisfactory
INSP00196,P00196,2025-11-20,85,Passed,Project inspection satisfactory
INSP00197,P00197,2026-01-27,85,Passed,Project inspection satisfactory
INSP00198,P00198,2025-05-05,85,Passed,Project inspection satisfactory
INSP00199,P00199,2025-12-06,85,Passed,Project inspection satisfactory
INSP00200,P00200,2025-03-21,85,Passed,Project inspection satisfactory
INSP00201,P00201,2024-05-22,85,Passed,Project inspection satisfactory
INSP00202,P00202,2024-10-04,85,Passed,Project inspection satisfactory
INSP00203,P00203,2024-10-25,85,Passed,Project inspection satisfactory
INSP00204,P00204,2024-03-02,85,Passed,Project inspection satisfactory
INSP00205,P00205,2024-11-28,85,Passed,Project inspection satisfactory
INSP00206,P00206,2024-03-29,85,Passed,Project inspection satisfactory
INSP00207,P00207,2026-01-18,85,Passed,Project inspection satisfactory
INSP00208,P00208,2024-03-30,85,Passed,Project inspection satisfactory
INSP00209,P00209,2025-09-21,85,Passed,Project inspection satisfactory
INSP00210,P00210,2025-01-11,85,Passed,Project inspection satisfactory
INSP00211,P00211,2025-03-07,85,Passed,Project inspection satisfactory
INSP00212,P00212,2025-03-09,85,Passed,Project inspection satisfactory
INSP00213,P00213,2024-06-03,85,Passed,Project inspection satisfactory
INSP00214,P00214,2026-01-05,85,Passed,Project inspection satisfactory
INSP00215,P00215,2025-02-20,85,Passed,Project inspection satisfactory
INSP00216,P00216,2024-08-11,85,Passed,Project inspection satisfactory
INSP00217,P00217,2024-02-20,85,Passed,Project inspection satisfactory
INSP00218,P00218,2026-05-02,85,Passed,Project inspection satisfactory
INSP00219,P00219,2025-04-27,85,Passed,Project inspection satisfactory
INSP00220,P00220,2025-04-03,85,Passed,Project inspection satisfactory
INSP00221,P00221,2025-06-30,85,Passed,Project inspection satisfactory
INSP00222,P00222,2025-10-14,85,Passed,Project inspection satisfactory
INSP00223,P00223,2025-07-22,85,Passed,Project inspection satisfactory
INSP00224,P00224,2025-08-10,85,Passed,Project inspection satisfactory
INSP00225,P00225,2025-09-16,85,Passed,Project inspection satisfactory
INSP00226,P00226,2024-10-24,35,Failed,Work quality below expected standard
INSP00227,P00227,2026-01-31,85,Passed,Project inspection satisfactory
INSP00228,P00228,2024-02-25,85,Passed,Project inspection satisfactory
INSP00229,P00229,2024-05-13,85,Passed,Project inspection satisfactory
INSP00230,P00230,2026-02-16,85,Passed,Project inspection satisfactory
INSP00231,P00231,2024-01-21,85,Passed,Project inspection satisfactory
INSP00232,P00232,2024-09-16,85,Passed,Project inspection satisfactory
INSP00233,P00233,2025-06-19,85,Passed,Project inspection satisfactory
INSP00234,P00234,2025-04-28,85,Passed,Project inspection satisfactory
INSP00235,P00235,2024-03-16,85,Passed,Project inspection satisfactory
INSP00236,P00236,2024-04-25,85,Passed,Project inspection satisfactory
INSP00237,P00237,2024-02-06,85,Passed,Project inspection satisfactory
INSP00238,P00238,2025-03-06,85,Passed,Project inspection satisfactory
INSP00239,P00239,2025-05-01,85,Passed,Project inspection satisfactory
INSP00240,P00240,2024-07-06,85,Passed,Project inspection satisfactory
INSP00241,P00241,2025-07-28,45,Needs Improvement,Physical progress requires verification
INSP00242,P00242,2024-07-20,85,Passed,Project inspection satisfactory
INSP00243,P00243,2025-06-16,85,Passed,Project inspection satisfactory
INSP00244,P00244,2026-01-05,85,Passed,Project inspection satisfactory
INSP00245,P00245,2026-01-24,85,Passed,Project inspection satisfactory
INSP00246,P00246,2025-12-01,85,Passed,Project inspection satisfactory
INSP00247,P00247,2026-01-11,85,Passed,Project inspection satisfactory
INSP00248,P00248,2025-10-01,85,Passed,Project inspection satisfactory
INSP00249,P00249,2024-06-13,85,Passed,Project inspection satisfactory
INSP00250,P00250,2024-06-17,85,Passed,Project inspection satisfactory
INSP00251,P00251,2025-08-06,85,Passed,Project inspection satisfactory
INSP00252,P00252,2026-05-02,85,Passed,Project inspection satisfactory
INSP00253,P00253,2024-04-19,85,Passed,Project inspection satisfactory
INSP00254,P00254,2024-03-14,85,Passed,Project inspection satisfactory
INSP00255,P00255,2024-03-03,85,Passed,Project inspection satisfactory
INSP00256,P00256,2024-02-13,85,Passed,Project inspection satisfactory
INSP00257,P00257,2026-04-23,85,Passed,Project inspection satisfactory
INSP00258,P00258,2025-07-10,85,Passed,Project inspection satisfactory
INSP00259,P00259,2024-07-26,85,Passed,Project inspection satisfactory
INSP00260,P00260,2025-01-11,85,Passed,Project inspection satisfactory
INSP00261,P00261,2026-03-12,85,Passed,Project inspection satisfactory
INSP00262,P00262,2024-01-11,85,Passed,Project inspection satisfactory
INSP00263,P00263,2024-05-14,85,Passed,Project inspection satisfactory
INSP00264,P00264,2026-03-12,85,Passed,Project inspection satisfactory
INSP00265,P00265,2025-04-08,85,Passed,Project inspection satisfactory
INSP00266,P00266,2025-08-06,85,Passed,Project inspection satisfactory
INSP00267,P00267,2025-07-30,85,Passed,Project inspection satisfactory
INSP00268,P00268,2024-12-31,85,Passed,Project inspection satisfactory
INSP00269,P00269,2024-05-23,85,Passed,Project inspection satisfactory
INSP00270,P00270,2024-09-07,85,Passed,Project inspection satisfactory
INSP00271,P00271,2025-09-10,35,Failed,Work quality below expected standard
INSP00272,P00272,2025-06-12,85,Passed,Project inspection satisfactory
INSP00273,P00273,2025-12-15,85,Passed,Project inspection satisfactory
INSP00274,P00274,2026-02-04,85,Passed,Project inspection satisfactory
INSP00275,P00275,2025-02-17,85,Passed,Project inspection satisfactory
INSP00276,P00276,2024-07-24,85,Passed,Project inspection satisfactory
INSP00277,P00277,2025-10-09,85,Passed,Project inspection satisfactory
INSP00278,P00278,2025-03-07,85,Passed,Project inspection satisfactory
INSP00279,P00279,2024-12-24,85,Passed,Project inspection satisfactory
INSP00280,P00280,2025-06-13,85,Passed,Project inspection satisfactory
INSP00281,P00281,2025-04-19,85,Passed,Project inspection satisfactory
INSP00282,P00282,2024-06-03,85,Passed,Project inspection satisfactory
INSP00283,P00283,2024-09-23,85,Passed,Project inspection satisfactory
INSP00284,P00284,2024-10-19,85,Passed,Project inspection satisfactory
INSP00285,P00285,2024-04-03,85,Passed,Project inspection satisfactory
INSP00286,P00286,2024-03-05,85,Passed,Project inspection satisfactory
INSP00287,P00287,2024-06-17,85,Passed,Project inspection satisfactory
INSP00288,P00288,2025-08-20,85,Passed,Project inspection satisfactory
INSP00289,P00289,2026-01-16,85,Passed,Project inspection satisfactory
INSP00290,P00290,2026-01-14,85,Passed,Project inspection satisfactory
INSP00291,P00291,2024-05-21,85,Passed,Project inspection satisfactory
INSP00292,P00292,2024-04-01,85,Passed,Project inspection satisfactory
INSP00293,P00293,2025-12-01,85,Passed,Project inspection satisfactory
INSP00294,P00294,2025-03-26,85,Passed,Project inspection satisfactory
INSP00295,P00295,2024-09-21,85,Passed,Project inspection satisfactory
INSP00296,P00296,2024-02-11,85,Passed,Project inspection satisfactory
INSP00297,P00297,2024-07-22,85,Passed,Project inspection satisfactory
INSP00298,P00298,2025-02-24,85,Passed,Project inspection satisfactory
INSP00299,P00299,2025-01-02,85,Passed,Project inspection satisfactory
INSP00300,P00300,2025-02-21,85,Passed,Project inspection satisfactory
INSP00301,P00301,2024-03-11,45,Needs Improvement,Physical progress requires verification
INSP00302,P00302,2024-01-21,85,Passed,Project inspection satisfactory
INSP00303,P00303,2024-08-31,85,Passed,Project inspection satisfactory
INSP00304,P00304,2024-05-23,85,Passed,Project inspection satisfactory
INSP00305,P00305,2024-10-16,85,Passed,Project inspection satisfactory
INSP00306,P00306,2024-10-04,85,Passed,Project inspection satisfactory
INSP00307,P00307,2025-01-05,85,Passed,Project inspection satisfactory
INSP00308,P00308,2025-04-21,85,Passed,Project inspection satisfactory
INSP00309,P00309,2024-04-13,85,Passed,Project inspection satisfactory
INSP00310,P00310,2025-03-16,85,Passed,Project inspection satisfactory
INSP00311,P00311,2026-01-02,85,Passed,Project inspection satisfactory
INSP00312,P00312,2025-05-03,85,Passed,Project inspection satisfactory
INSP00313,P00313,2024-02-14,85,Passed,Project inspection satisfactory
INSP00314,P00314,2024-02-09,85,Passed,Project inspection satisfactory
INSP00315,P00315,2025-10-10,85,Passed,Project inspection satisfactory
INSP00316,P00316,2025-01-12,35,Failed,Work quality below expected standard
INSP00317,P00317,2025-08-07,85,Passed,Project inspection satisfactory
INSP00318,P00318,2026-01-06,85,Passed,Project inspection satisfactory
INSP00319,P00319,2026-04-05,85,Passed,Project inspection satisfactory
INSP00320,P00320,2026-01-18,85,Passed,Project inspection satisfactory
INSP00321,P00321,2025-02-16,25,Failed,Project site requires detailed investigation
INSP00322,P00322,2024-07-20,85,Passed,Project inspection satisfactory
INSP00323,P00323,2024-09-15,85,Passed,Project inspection satisfactory
INSP00324,P00324,2025-12-01,85,Passed,Project inspection satisfactory
INSP00325,P00325,2025-12-08,85,Passed,Project inspection satisfactory
INSP00326,P00326,2025-02-25,85,Passed,Project inspection satisfactory
INSP00327,P00327,2026-03-29,85,Passed,Project inspection satisfactory
INSP00328,P00328,2024-07-20,85,Passed,Project inspection satisfactory
INSP00329,P00329,2025-06-22,85,Passed,Project inspection satisfactory
INSP00330,P00330,2026-04-10,85,Passed,Project inspection satisfactory
INSP00331,P00331,2025-12-04,85,Passed,Project inspection satisfactory
INSP00332,P00332,2024-07-01,85,Passed,Project inspection satisfactory
INSP00333,P00333,2024-08-02,85,Passed,Project inspection satisfactory
INSP00334,P00334,2026-01-26,85,Passed,Project inspection satisfactory
INSP00335,P00335,2024-11-01,85,Passed,Project inspection satisfactory
INSP00336,P00336,2024-02-20,85,Passed,Project inspection satisfactory
INSP00337,P00337,2025-01-18,85,Passed,Project inspection satisfactory
INSP00338,P00338,2025-02-17,85,Passed,Project inspection satisfactory
INSP00339,P00339,2026-03-16,85,Passed,Project inspection satisfactory
INSP00340,P00340,2024-06-19,85,Passed,Project inspection satisfactory
INSP00341,P00341,2025-01-28,85,Passed,Project inspection satisfactory
INSP00342,P00342,2024-08-09,85,Passed,Project inspection satisfactory
INSP00343,P00343,2025-11-14,85,Passed,Project inspection satisfactory
INSP00344,P00344,2026-03-09,85,Passed,Project inspection satisfactory
INSP00345,P00345,2025-07-15,85,Passed,Project inspection satisfactory
INSP00346,P00346,2025-06-29,85,Passed,Project inspection satisfactory
INSP00347,P00347,2025-08-15,85,Passed,Project inspection satisfactory
INSP00348,P00348,2025-06-24,85,Passed,Project inspection satisfactory
INSP00349,P00349,2025-08-13,85,Passed,Project inspection satisfactory
INSP00350,P00350,2024-12-08,85,Passed,Project inspection satisfactory
INSP00351,P00351,2026-03-27,85,Passed,Project inspection satisfactory
INSP00352,P00352,2024-12-26,85,Passed,Project inspection satisfactory
INSP00353,P00353,2026-04-28,85,Passed,Project inspection satisfactory
INSP00354,P00354,2024-12-16,85,Passed,Project inspection satisfactory
INSP00355,P00355,2025-04-19,85,Passed,Project inspection satisfactory
INSP00356,P00356,2025-01-10,85,Passed,Project inspection satisfactory
INSP00357,P00357,2025-04-06,85,Passed,Project inspection satisfactory
INSP00358,P00358,2024-06-16,85,Passed,Project inspection satisfactory
INSP00359,P00359,2026-03-23,85,Passed,Project inspection satisfactory
INSP00360,P00360,2024-08-30,85,Passed,Project inspection satisfactory
INSP00361,P00361,2024-06-30,35,Failed,Work quality below expected standard
INSP00362,P00362,2024-07-16,85,Passed,Project inspection satisfactory
INSP00363,P00363,2025-01-30,85,Passed,Project inspection satisfactory
INSP00364,P00364,2024-05-27,85,Passed,Project inspection satisfactory
INSP00365,P00365,2025-09-15,85,Passed,Project inspection satisfactory
INSP00366,P00366,2025-03-20,85,Passed,Project inspection satisfactory
INSP00367,P00367,2025-10-12,85,Passed,Project inspection satisfactory
INSP00368,P00368,2025-01-26,85,Passed,Project inspection satisfactory
INSP00369,P00369,2024-04-20,85,Passed,Project inspection satisfactory
INSP00370,P00370,2024-12-21,85,Passed,Project inspection satisfactory
INSP00371,P00371,2025-04-13,85,Passed,Project inspection satisfactory
INSP00372,P00372,2025-06-22,85,Passed,Project inspection satisfactory
INSP00373,P00373,2026-02-27,85,Passed,Project inspection satisfactory
INSP00374,P00374,2025-02-25,85,Passed,Project inspection satisfactory
INSP00375,P00375,2025-09-23,85,Passed,Project inspection satisfactory
INSP00376,P00376,2025-04-04,85,Passed,Project inspection satisfactory
INSP00377,P00377,2025-01-17,85,Passed,Project inspection satisfactory
INSP00378,P00378,2024-12-12,85,Passed,Project inspection satisfactory
INSP00379,P00379,2025-11-11,85,Passed,Project inspection satisfactory
INSP00380,P00380,2025-11-26,85,Passed,Project inspection satisfactory
INSP00381,P00381,2024-04-19,85,Passed,Project inspection satisfactory
INSP00382,P00382,2024-03-03,85,Passed,Project inspection satisfactory
INSP00383,P00383,2026-04-19,85,Passed,Project inspection satisfactory
INSP00384,P00384,2024-08-15,85,Passed,Project inspection satisfactory
INSP00385,P00385,2025-11-06,85,Passed,Project inspection satisfactory
INSP00386,P00386,2024-05-17,85,Passed,Project inspection satisfactory
INSP00387,P00387,2024-09-07,85,Passed,Project inspection satisfactory
INSP00388,P00388,2026-01-13,85,Passed,Project inspection satisfactory
INSP00389,P00389,2026-02-11,85,Passed,Project inspection satisfactory
INSP00390,P00390,2024-12-18,85,Passed,Project inspection satisfactory
INSP00391,P00391,2025-04-25,85,Passed,Project inspection satisfactory
INSP00392,P00392,2025-11-10,85,Passed,Project inspection satisfactory
INSP00393,P00393,2025-12-25,85,Passed,Project inspection satisfactory
INSP00394,P00394,2025-11-30,85,Passed,Project inspection satisfactory
INSP00395,P00395,2024-06-14,85,Passed,Project inspection satisfactory
INSP00396,P00396,2025-04-15,85,Passed,Project inspection satisfactory
INSP00397,P00397,2024-05-30,85,Passed,Project inspection satisfactory
INSP00398,P00398,2025-12-26,85,Passed,Project inspection satisfactory
INSP00399,P00399,2025-01-18,85,Passed,Project inspection satisfactory
INSP00400,P00400,2026-03-02,85,Passed,Project inspection satisfactory
INSP00401,P00401,2024-01-22,25,Failed,Project site requires detailed investigation
INSP00402,P00402,2024-07-30,85,Passed,Project inspection satisfactory
INSP00403,P00403,2024-09-23,85,Passed,Project inspection satisfactory
INSP00404,P00404,2025-12-26,85,Passed,Project inspection satisfactory
INSP00405,P00405,2024-12-28,85,Passed,Project inspection satisfactory
INSP00406,P00406,2025-07-14,35,Failed,Work quality below expected standard
INSP00407,P00407,2024-08-03,85,Passed,Project inspection satisfactory
INSP00408,P00408,2024-08-28,85,Passed,Project inspection satisfactory
INSP00409,P00409,2024-12-13,85,Passed,Project inspection satisfactory
